
Host: bc4login3.bc4.acrc.priv

Timers On : Fri Nov  5 10:36:45 2021
Timers Off: Fri Nov  5 10:37:22 2021

Wall Time:       36.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.550u      0.017s      0.032w      1 calls
DFH: sparsity prep                  :      0.283u      0.017s      0.232w      1 calls
Libint2ERI::Libint2ERI              :      2.383u      0.100s      0.285w     14 calls
DFH: initialize()                   :     12.817u      1.150s      0.675w      1 calls
DFH: AO Construction                :      1.200u      0.083s      0.066w      1 calls
DFH: AO-Met. Contraction            :      1.417u      0.267s      0.054w      1 calls
HF: Form core H                     :     44.450u      0.533s      5.803w      1 calls
HF: Form S/X                        :      0.200u      0.017s      0.007w      1 calls
HF: Guess                           :      8.217u      0.383s      1.633w      1 calls
SAD Guess                           :      8.133u      0.367s      1.628w      1 calls
HF: Form G                          :    202.233u     26.850s     12.973w     22 calls
UV: Form V                          :    192.467u     26.033s     12.588w     22 calls
Properties                          :     85.650u     13.400s      5.103w  13024 calls
Functional                          :     16.883u      1.767s      1.817w  13024 calls
V_xc                                :     80.917u      9.150s      5.281w  13024 calls
JK: D                               :      0.350u      0.067s      0.010w     22 calls
JK: USO2AO                          :      0.617u      0.017s      0.020w     22 calls
JK: JK                              :      7.383u      0.517s      0.307w     22 calls
DFH: compute_JK()                   :      7.383u      0.517s      0.307w     22 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     22 calls
DFH: compute_J                      :      4.833u      0.367s      0.167w     22 calls
JK: AO2USO                          :      0.550u      0.100s      0.019w     22 calls
HF: Form F                          :      0.050u      0.000s      0.001w     22 calls
HF: Form D                          :      0.067u      0.000s      0.003w     22 calls
HF: DIIS                            :      1.183u      0.117s      0.052w     21 calls
DIISManager::add_entry              :      0.150u      0.050s      0.006w     21 calls
DIISManager::extrapolate            :      0.317u      0.017s      0.018w     21 calls
bMatrix setup                       :      0.200u      0.000s      0.008w     21 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.002w     21 calls
New vector                          :      0.083u      0.017s      0.007w     21 calls
HF: Form C                          :      2.833u      0.550s      0.091w     21 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.550u      0.017s      0.032w      1 calls
DFH: sparsity prep                  :      0.283u      0.017s      0.232w      1 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.017s      0.170w      1 calls
DFH: initialize()                   :     12.817u      1.150s      0.675w      1 calls
| Libint2ERI::Libint2ERI            :      2.200u      0.083s      0.115w     13 calls
| DFH: AO Construction              :      1.200u      0.083s      0.066w      1 calls
| DFH: AO-Met. Contraction          :      1.417u      0.267s      0.054w      1 calls
HF: Form core H                     :     44.450u      0.533s      5.803w      1 calls
HF: Form S/X                        :      0.200u      0.017s      0.007w      1 calls
HF: Guess                           :      8.217u      0.383s      1.633w      1 calls
| SAD Guess                         :      8.133u      0.367s      1.628w      1 calls
HF: Form G                          :    202.233u     26.850s     12.973w     22 calls
| UV: Form V                        :    192.467u     26.033s     12.588w     22 calls
